date and time,portfolio value,ticker,number of shares (no fractional shares),current market value of all shares held,current day profit/loss in dollars
datetime,portfolio_value,ticker,quantity,market_value,current_day_loss_profit
09/02/2020 08:59,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:00,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:01,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:02,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:03,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:04,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:05,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:06,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:07,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:08,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:09,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:10,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:11,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:12,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:13,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:14,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:15,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:16,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:17,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:18,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:19,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:21,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:22,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:23,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:24,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:25,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:26,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:27,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:28,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:29,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[-2.04, -0.26, 0.4]"
09/02/2020 09:30,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:31,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:32,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:33,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:34,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:35,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:36,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:37,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:38,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:39,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:40,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:41,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:42,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:43,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:44,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:46,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:47,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:48,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:49,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:50,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:51,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:52,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:53,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:54,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:55,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:56,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:57,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:58,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 09:59,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:00,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:01,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:02,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:03,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:04,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:05,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:06,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:07,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:08,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:10,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:11,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:12,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:13,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:14,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:15,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:16,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:17,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:18,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:19,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:20,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:21,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:22,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:23,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:24,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:25,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:26,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:27,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:28,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:29,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:30,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:31,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:32,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:33,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:35,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:36,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:37,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:38,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:39,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:40,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:41,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:42,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:43,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:44,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:45,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:46,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:47,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:48,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:49,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:50,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:51,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:52,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:53,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:54,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:55,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:56,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:57,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 10:58,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:00,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:01,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:02,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:03,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:04,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:05,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:06,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:07,16800.01,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[94.35, 97.24, 91.3]","[-0.68, 0.0, 0.0]"
09/02/2020 11:08,16800.01,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[94.35, 97.24, 91.3]","[-0.68, 0.0, 0.0]"
09/02/2020 11:09,16800.01,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[94.35, 97.24, 91.3]","[-0.68, 0.0, 0.0]"
09/02/2020 11:10,16800.01,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[94.35, 97.24, 91.3]","[-0.68, 0.0, 0.0]"
09/02/2020 11:11,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:12,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:13,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:14,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:15,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:16,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:17,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:18,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:19,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:20,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:21,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:22,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:23,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:25,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:26,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:27,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:28,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:29,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:30,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:31,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:32,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:33,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:34,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:35,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:36,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:37,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:38,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:39,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:40,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:41,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:42,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:43,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:44,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:45,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:46,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:47,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:49,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:50,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:51,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:52,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:53,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:54,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:55,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:56,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:57,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:58,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 11:59,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
09/02/2020 12:00,16800.69,"['NNA', 'FNB', 'NAVI']","[17, 13, 10]","[95.03, 97.24, 91.3]","[0.0, 0.0, 0.0]"
