date and time,portfolio value,ticker,number of shares (no fractional shares),current market value of all shares held,current day profit/loss in dollars
datetime,portfolio_value,ticker,quantity,market_value,current_day_loss_profit
09/01/2020 12:02,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:04,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:05,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:06,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:07,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:08,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:09,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:10,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:11,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:12,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:13,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:14,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:15,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:16,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:17,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:18,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:19,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:20,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:21,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:22,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:23,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:24,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
09/01/2020 12:25,16797.61,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[0.0, 0.0]"
